guid,title,link,journal,pubDate,score,reasons,matched_themes,scored_at,topic
https://www.sciencedirect.com/science/article/pii/S0883292726001587,"Geochemical evolution and therapeutic properties of the Kangbu geothermal springs, Southern Tibet, China",https://www.sciencedirect.com/science/article/pii/S0883292726001587?dgcid=rss_sd_all,Applied Geochemistry,,10,Deep groundwater study combining isotope methods with geothermal system.,"deep groundwater,isotope methods,geothermal hydrogeochem,surface water",2026-05-21T04:14:57.706068+00:00,
https://www.sciencedirect.com/science/article/pii/S0883292726001861,"Hydrothermal processes and their effects in the precipitation, textures and isotopic composition of calcite and anhydrite, Irruputuncu Volcano case study",https://www.sciencedirect.com/science/article/pii/S0883292726001861?dgcid=rss_sd_all,Applied Geochemistry,,8,"Geothermal hydrogeochemistry with isotope methods, closely matching secondary research interests.","isotope methods,geothermal hydrogeochem",2026-05-21T04:14:57.706068+00:00,
https://www.sciencedirect.com/science/article/pii/S0883292726001514,"Quantifying the effects of geogenic contaminated groundwater on water quality of Ulansuhai lake, Hetao Basin, China",https://www.sciencedirect.com/science/article/pii/S0883292726001514?dgcid=rss_sd_all,Applied Geochemistry,,6,Groundwater isotope hydrogeochemistry — methodologically relevant but focuses on shallow systems.,"isotope methods,shallow/general groundwater,surface water",2026-05-21T04:14:57.706068+00:00,
https://www.sciencedirect.com/science/article/pii/S088329272600154X,The occurrence of parent and substituted polycyclic aromatic hydrocarbons in the interconnected river-lake system of Wuhan,https://www.sciencedirect.com/science/article/pii/S088329272600154X?dgcid=rss_sd_all,Applied Geochemistry,,2,Surface water or marine geochemistry study with no groundwater or isotope hydrogeology relevance.,surface water,2026-05-21T04:14:57.706068+00:00,
https://www.sciencedirect.com/science/article/pii/S0883292726001794,Sources and biodegradation potential of naphthenic acids in an oil sands pit-lake,https://www.sciencedirect.com/science/article/pii/S0883292726001794?dgcid=rss_sd_all,Applied Geochemistry,,2,Surface water or marine geochemistry study with no groundwater or isotope hydrogeology relevance.,surface water,2026-05-21T04:14:57.706068+00:00,
https://www.sciencedirect.com/science/article/pii/S0883292726001836,"Geochemical, mineralogical and particle-size controls on origin, transport and storage of sediment-associated metal(loid)s in an acid mine drainage-affected river",https://www.sciencedirect.com/science/article/pii/S0883292726001836?dgcid=rss_sd_all,Applied Geochemistry,,2,Surface water or marine geochemistry study with no groundwater or isotope hydrogeology relevance.,surface water,2026-05-21T04:14:57.706068+00:00,
https://www.sciencedirect.com/science/article/pii/S0883292726001800,"Coupled hydrogeochemical, isotopic, and microclimatic processes driving modern carbonate precipitation in a southwestern Iberian karst system",https://www.sciencedirect.com/science/article/pii/S0883292726001800?dgcid=rss_sd_all,Applied Geochemistry,,3,General geochemistry study with limited relevance to hydrogeochemical or isotope research profile.,isotope methods,2026-05-21T04:14:57.706068+00:00,
https://www.sciencedirect.com/science/article/pii/S0883292726001526,Brillouin spectroscopy as a proxy for fluid inclusion salinity in gypsum: application to brine evolution in a sebkha system,https://www.sciencedirect.com/science/article/pii/S0883292726001526?dgcid=rss_sd_all,Applied Geochemistry,,3,General geochemistry study with limited relevance to hydrogeochemical or isotope research profile.,general geochemistry,2026-05-21T04:14:57.706068+00:00,
https://www.sciencedirect.com/science/article/pii/S0883292726001708,Impact of soil microbial processes on the fate of crude oil contamination: Insights from aerobic and anaerobic microcosms,https://www.sciencedirect.com/science/article/pii/S0883292726001708?dgcid=rss_sd_all,Applied Geochemistry,,3,General geochemistry study with limited relevance to hydrogeochemical or isotope research profile.,general geochemistry,2026-05-21T04:14:57.706068+00:00,
https://www.sciencedirect.com/science/article/pii/S0883292726001617,Rhodamine B degradation through sulfite activation by Vernadite: Kinetics characteristics and reaction mechanism,https://www.sciencedirect.com/science/article/pii/S0883292726001617?dgcid=rss_sd_all,Applied Geochemistry,,3,General geochemistry study with limited relevance to hydrogeochemical or isotope research profile.,general geochemistry,2026-05-21T04:14:57.706068+00:00,
https://www.sciencedirect.com/science/article/pii/S0883292726001770,A novel zirconium oxide gel-based method for measuring phosphate oxygen isotopes in different soil phosphorus pools,https://www.sciencedirect.com/science/article/pii/S0883292726001770?dgcid=rss_sd_all,Applied Geochemistry,,3,General geochemistry study with limited relevance to hydrogeochemical or isotope research profile.,isotope methods,2026-05-21T04:14:57.706068+00:00,
https://www.sciencedirect.com/science/article/pii/S0883292726001605,Methane production dynamics in fluid fine tailings of an oil sand pit lake,https://www.sciencedirect.com/science/article/pii/S0883292726001605?dgcid=rss_sd_all,Applied Geochemistry,,2,Surface water or marine geochemistry study with no groundwater or isotope hydrogeology relevance.,"isotope methods,surface water",2026-05-21T04:14:57.706068+00:00,
https://www.sciencedirect.com/science/article/pii/S0883292726001344,High-pressure adsorption of CO 2 on montmorillonite,https://www.sciencedirect.com/science/article/pii/S0883292726001344?dgcid=rss_sd_all,Applied Geochemistry,,3,General geochemistry study with limited relevance to hydrogeochemical or isotope research profile.,general geochemistry,2026-05-21T04:14:57.706068+00:00,
https://www.sciencedirect.com/science/article/pii/S0883292726001538,Global biogenic isoprene emissions modulated by intensifying warm temperature extremes,https://www.sciencedirect.com/science/article/pii/S0883292726001538?dgcid=rss_sd_all,Applied Geochemistry,,3,General geochemistry study with limited relevance to hydrogeochemical or isotope research profile.,general geochemistry,2026-05-21T04:14:57.706068+00:00,
https://www.sciencedirect.com/science/article/pii/S0883292726001629,Metal contaminant availability in freshly dredged sediments and controlling reactive mineral and organic surfaces,https://www.sciencedirect.com/science/article/pii/S0883292726001629?dgcid=rss_sd_all,Applied Geochemistry,,2,Soil or atmospheric geochemistry study unrelated to groundwater hydrogeochemistry.,soil/atm study,2026-05-21T04:14:57.706068+00:00,
https://www.sciencedirect.com/science/article/pii/S0883292726001484,Modelling of geochemical survey data via self-supervised graph learning and distance-encoding Transformer,https://www.sciencedirect.com/science/article/pii/S0883292726001484?dgcid=rss_sd_all,Applied Geochemistry,,3,General geochemistry study with limited relevance to hydrogeochemical or isotope research profile.,general geochemistry,2026-05-21T04:14:57.706068+00:00,
https://www.sciencedirect.com/science/article/pii/S0883292726001976,Editorial Board,https://www.sciencedirect.com/science/article/pii/S0883292726001976?dgcid=rss_sd_all,Applied Geochemistry,,3,General geochemistry study with limited relevance to hydrogeochemical or isotope research profile.,general geochemistry,2026-05-21T04:14:57.706068+00:00,
https://www.sciencedirect.com/science/article/pii/S0883292726002209,Unveiling metal deposition and source apportionment in sediments of Daya Bay (China) through multiple radionuclide tracing and analytical modelling,https://www.sciencedirect.com/science/article/pii/S0883292726002209?dgcid=rss_sd_all,Applied Geochemistry,,7,Radionuclide or HLW-related geochemistry relevant to geological disposal research.,"HLW/radionuclide disposal,radionuclide geochemistry,surface water",2026-05-21T04:14:57.706068+00:00,
https://www.sciencedirect.com/science/article/pii/S0883292726002143,"A Simple, Field-Compatible Method for Accurate pH Measurement in Hypersaline Brines",https://www.sciencedirect.com/science/article/pii/S0883292726002143?dgcid=rss_sd_all,Applied Geochemistry,,3,General geochemistry study with limited relevance to hydrogeochemical or isotope research profile.,general geochemistry,2026-05-21T04:14:57.706068+00:00,
https://www.sciencedirect.com/science/article/pii/S0009254126002664,Carbonate Associated Sulphate (CAS) in travertines: A useful time capsule for inferring (paleo-) fluid-rock interaction and/or microbial fractionation?,https://www.sciencedirect.com/science/article/pii/S0009254126002664?dgcid=rss_sd_all,Chemical Geology,,8,"Geothermal hydrogeochemistry with isotope methods, closely matching secondary research interests.","isotope methods,geothermal hydrogeochem",2026-05-21T04:14:57.706068+00:00,
https://www.sciencedirect.com/science/article/pii/S0009254126001026,"Estimation of the association constants of rare earth elements in aqueous solutions in STP conditions ( t = 25 ° C , P = 1 b a r ) from their electronegativities and polarizabilities",https://www.sciencedirect.com/science/article/pii/S0009254126001026?dgcid=rss_sd_all,Chemical Geology,,3,General geochemistry study with limited relevance to hydrogeochemical or isotope research profile.,general geochemistry,2026-05-21T04:14:57.706068+00:00,
https://www.sciencedirect.com/science/article/pii/S0009254126002378,Coupled crystallisation and chaotic mixing of basaltic and dacitic magmas under sub-liquidus conditions,https://www.sciencedirect.com/science/article/pii/S0009254126002378?dgcid=rss_sd_all,Chemical Geology,,3,General geochemistry study with limited relevance to hydrogeochemical or isotope research profile.,general geochemistry,2026-05-21T04:14:57.706068+00:00,
https://www.sciencedirect.com/science/article/pii/S0009254126002676,Synergistic effects of pyrite and thiols on hydroxyl radical production during oxygenation,https://www.sciencedirect.com/science/article/pii/S0009254126002676?dgcid=rss_sd_all,Chemical Geology,,3,General geochemistry study with limited relevance to hydrogeochemical or isotope research profile.,redox geochemistry,2026-05-21T04:14:57.706068+00:00,
https://www.sciencedirect.com/science/article/pii/S0009254126002445,Stable Ca and Sr isotope responses to ocean acidification during Oceanic Anoxic Event 2,https://www.sciencedirect.com/science/article/pii/S0009254126002445?dgcid=rss_sd_all,Chemical Geology,,2,Surface water or marine geochemistry study with no groundwater or isotope hydrogeology relevance.,"isotope methods,surface water",2026-05-21T04:14:57.706068+00:00,
https://www.sciencedirect.com/science/article/pii/S0009254126002573,Effects of myo -inositol hexakisphosphate on the Fe(II)-catalyzed transformation of Al-substituted ferrihydrite: A concentration-dependent mechanism and implications for phosphorus geochemical cycling,https://www.sciencedirect.com/science/article/pii/S0009254126002573?dgcid=rss_sd_all,Chemical Geology,,3,General geochemistry study with limited relevance to hydrogeochemical or isotope research profile.,redox geochemistry,2026-05-21T04:14:57.706068+00:00,
https://www.sciencedirect.com/science/article/pii/S0009254126002615,Quantification of sediment redox capacities under different E h conditions by a modified electrochemical method,https://www.sciencedirect.com/science/article/pii/S0009254126002615?dgcid=rss_sd_all,Chemical Geology,,3,General geochemistry study with limited relevance to hydrogeochemical or isotope research profile.,redox geochemistry,2026-05-21T04:14:57.706068+00:00,
https://www.sciencedirect.com/science/article/pii/S0009254126002639,Permian crustal growth in the Chinese Altai orogen: Constraints from Sr-Nd-Hf-O-Mg multi-isotope systematics,https://www.sciencedirect.com/science/article/pii/S0009254126002639?dgcid=rss_sd_all,Chemical Geology,,3,General geochemistry study with limited relevance to hydrogeochemical or isotope research profile.,isotope methods,2026-05-21T04:14:57.706068+00:00,
https://www.sciencedirect.com/science/article/pii/S0009254126002470,Calcium isotopic signatures of mid-ocean ridge basalts from the eastern Galápagos Spreading Center that influenced by plume-ridge interaction,https://www.sciencedirect.com/science/article/pii/S0009254126002470?dgcid=rss_sd_all,Chemical Geology,,2,Surface water or marine geochemistry study with no groundwater or isotope hydrogeology relevance.,surface water,2026-05-21T04:14:57.706068+00:00,
https://www.sciencedirect.com/science/article/pii/S000925412600255X,"Bedrock testing of zircon annealing for detrital provenance studies: Raman and U-Pb analysis in the Adamello batholith (Southern Alps, Italy)",https://www.sciencedirect.com/science/article/pii/S000925412600255X?dgcid=rss_sd_all,Chemical Geology,,3,General geochemistry study with limited relevance to hydrogeochemical or isotope research profile.,general geochemistry,2026-05-21T04:14:57.706068+00:00,
https://www.sciencedirect.com/science/article/pii/S0009254126002421,A daily-weekly-resolved δ 18 O record derived from a modern giant clam shell in the northern South China Sea: Implications for paleoclimate and paleoweather reconstruction,https://www.sciencedirect.com/science/article/pii/S0009254126002421?dgcid=rss_sd_all,Chemical Geology,,2,Surface water or marine geochemistry study with no groundwater or isotope hydrogeology relevance.,"isotope methods,surface water",2026-05-21T04:14:57.706068+00:00,
https://www.sciencedirect.com/science/article/pii/S0009254126002408,"Linear relationships of Gibbs free energy for rare earth element oxide, hydroxide, chloride, fluoride, carbonate, ferrite, and zirconate minerals and crystalline solids",https://www.sciencedirect.com/science/article/pii/S0009254126002408?dgcid=rss_sd_all,Chemical Geology,,3,General geochemistry study with limited relevance to hydrogeochemical or isotope research profile.,general geochemistry,2026-05-21T04:14:57.706068+00:00,
https://www.sciencedirect.com/science/article/pii/S0009254126002469,Granite weathering revealed by magnesium isotopes fractionation: Implications for the flux dynamics and global carbon sink,https://www.sciencedirect.com/science/article/pii/S0009254126002469?dgcid=rss_sd_all,Chemical Geology,,2,Soil or atmospheric geochemistry study unrelated to groundwater hydrogeochemistry.,soil/atm study,2026-05-21T04:14:57.706068+00:00,
https://www.sciencedirect.com/science/article/pii/S0009254126002457,Plastic deformation-induced co-segregation of Au and low-melting-point chalcophile elements along low-angle grain boundaries in pyrite from an epithermal gold deposit,https://www.sciencedirect.com/science/article/pii/S0009254126002457?dgcid=rss_sd_all,Chemical Geology,,7,Geothermal water geochemistry study relevant to secondary research interests.,geothermal hydrogeochem,2026-05-21T04:14:57.706068+00:00,
https://www.sciencedirect.com/science/article/pii/S0009254126001269,Interaction of transition metals with carbonate green rust: Environmental applications and insights into ancient oceans,https://www.sciencedirect.com/science/article/pii/S0009254126001269?dgcid=rss_sd_all,Chemical Geology,,8,"Deep groundwater study focusing on redox geochemistry, directly within core research scope.","deep groundwater,redox geochemistry,surface water",2026-05-21T04:14:57.706068+00:00,
https://www.sciencedirect.com/science/article/pii/S0009254126002433,Assessing the applicability of methods for calculating 234 U recoil loss factor in the comminution age model,https://www.sciencedirect.com/science/article/pii/S0009254126002433?dgcid=rss_sd_all,Chemical Geology,,2,Surface water or marine geochemistry study with no groundwater or isotope hydrogeology relevance.,surface water,2026-05-21T04:14:57.706068+00:00,
https://www.sciencedirect.com/science/article/pii/S000925412600272X,N analysis in nominally N-free silicate minerals and glasses using NanoSIMS,https://www.sciencedirect.com/science/article/pii/S000925412600272X?dgcid=rss_sd_all,Chemical Geology,,3,General geochemistry study with limited relevance to hydrogeochemical or isotope research profile.,general geochemistry,2026-05-21T04:14:57.706068+00:00,
https://www.sciencedirect.com/science/article/pii/S0009254126002718,Xenon isotope composition of the La Palma mantle plume (Canary Islands): assessing upper mantle versus plume mantle source evolution,https://www.sciencedirect.com/science/article/pii/S0009254126002718?dgcid=rss_sd_all,Chemical Geology,,3,General geochemistry study with limited relevance to hydrogeochemical or isotope research profile.,general geochemistry,2026-05-21T04:14:57.706068+00:00,
https://www.sciencedirect.com/science/article/pii/S0009254126002706,Tracing the sources of noble gases for helium prospectivity in the Western Canada Sedimentary Basin,https://www.sciencedirect.com/science/article/pii/S0009254126002706?dgcid=rss_sd_all,Chemical Geology,,9,Deep groundwater isotope hydrogeochemistry study closely matching core research interests.,"deep groundwater,isotope methods",2026-05-21T04:14:57.706068+00:00,
https://www.sciencedirect.com/science/article/pii/S0009254126002603,Kaolinite genesis and the formation of REE ion adsorption deposits,https://www.sciencedirect.com/science/article/pii/S0009254126002603?dgcid=rss_sd_all,Chemical Geology,,3,General geochemistry study with limited relevance to hydrogeochemical or isotope research profile.,isotope methods,2026-05-21T04:14:57.706068+00:00,
https://www.sciencedirect.com/science/article/pii/S000925412600269X,"Phonolite – Carbonate interaction in the Somma-Vesuvius plumbing system: experimental insights into the mechanisms of limestone assimilation, crustal limestone melting and Campanian magma differentiation",https://www.sciencedirect.com/science/article/pii/S000925412600269X?dgcid=rss_sd_all,Chemical Geology,,3,General geochemistry study with limited relevance to hydrogeochemical or isotope research profile.,general geochemistry,2026-05-21T04:14:57.706068+00:00,
https://www.sciencedirect.com/science/article/pii/S0009254126002561,Impact of volcanic volatile releases on Mesozoic terrestrial biotas in northern China,https://www.sciencedirect.com/science/article/pii/S0009254126002561?dgcid=rss_sd_all,Chemical Geology,,3,General geochemistry study with limited relevance to hydrogeochemical or isotope research profile.,general geochemistry,2026-05-21T04:14:57.706068+00:00,
https://www.sciencedirect.com/science/article/pii/S0009254126002627,Arsenopyrite-driven oxidative dissolution of stibnite: pH-dependent ROS effect and antimony transformation,https://www.sciencedirect.com/science/article/pii/S0009254126002627?dgcid=rss_sd_all,Chemical Geology,,3,General geochemistry study with limited relevance to hydrogeochemical or isotope research profile.,redox geochemistry,2026-05-21T04:14:57.706068+00:00,
https://www.sciencedirect.com/science/article/pii/S0009254126002366,"Mineral/melt partitioning of the first-row transition elements, Ga, and Ge during lower-crustal crystallization: Controls on deep metal fractionation in hydrous arcs",https://www.sciencedirect.com/science/article/pii/S0009254126002366?dgcid=rss_sd_all,Chemical Geology,,3,General geochemistry study with limited relevance to hydrogeochemical or isotope research profile.,general geochemistry,2026-05-21T04:14:57.706068+00:00,
https://www.sciencedirect.com/science/article/pii/S0009254126001257,3D phase-field modeling of limestone dissolution process induced by CO 2,https://www.sciencedirect.com/science/article/pii/S0009254126001257?dgcid=rss_sd_all,Chemical Geology,,3,General geochemistry study with limited relevance to hydrogeochemical or isotope research profile.,general geochemistry,2026-05-21T04:14:57.706068+00:00,
